Ehdokasnumero,Sukunimi,Etunimi,Ehdokasnimi,,Puhelin,Email,Postiosoite,Postitoimipaikka,Vaaliliiton ID,Vaaliliitto,Tiedekuntakoodi (random),Huomioita
54,Ahlman,Lotta Emilia,"Ahlman, Lotta",,,etunimi.sukunimi.52@example.com,Testiosoite 53,10052,Helsinki,10,Kokoomusopiskelijat 1,V,
55,Ahonen,Antti Juhani,"Ahonen, Antti Juhani",,,etunimi.sukunimi.53@example.com,Testiosoite 54,10053,Helsinki,10,Kokoomusopiskelijat 1,O,
56,Artjoki,Kaarlo Emil Artturi,"Artjoki, Emil ",,,etunimi.sukunimi.54@example.com,Testiosoite 55,10054,Helsinki,10,Kokoomusopiskelijat 1,B,
57,Auvinen,Tuomas Aleksanteri Villenpoika,"Auvinen, Tuomas",,,etunimi.sukunimi.55@example.com,Testiosoite 56,10055,Helsinki,10,Kokoomusopiskelijat 1,T,
58,Brand,Thomas Leo,"Brand, Thomas",,,etunimi.sukunimi.56@example.com,Testiosoite 57,10056,Helsinki,10,Kokoomusopiskelijat 1,L,
59,Erämaja,Kari Markku Elias,"Erämaja, Elias",,,etunimi.sukunimi.57@example.com,Testiosoite 58,10057,Helsinki,10,Kokoomusopiskelijat 1,MM,
60,Fils,Helen Henrika,"Fils, Helen",,,etunimi.sukunimi.58@example.com,Testiosoite 59,10058,Helsinki,10,Kokoomusopiskelijat 1,K,
61,Freyberg,Carl Henrik Ferdinand,"Freyberg, Carl",,,etunimi.sukunimi.59@example.com,Testiosoite 60,10059,Helsinki,10,Kokoomusopiskelijat 1,E,
62,Haapala,Johanna Elisa,"Haapala, Johanna",,,etunimi.sukunimi.60@example.com,Testiosoite 61,10060,Helsinki,10,Kokoomusopiskelijat 1,H,
63,Haapalehto,Eero Samuli,"Haapalehto, Eero",,,etunimi.sukunimi.61@example.com,Testiosoite 62,10061,Helsinki,10,Kokoomusopiskelijat 1,ML,
64,Hietanen,Ville Ilmari,"Hietanen, Ville I.",,,etunimi.sukunimi.62@example.com,Testiosoite 63,10062,Helsinki,10,Kokoomusopiskelijat 1,V,
65,Holopainen,Lasse,"Holopainen, Lasse",,,etunimi.sukunimi.63@example.com,Testiosoite 64,10063,Helsinki,10,Kokoomusopiskelijat 1,O,
66,Häkkänen,Antti Edvard,"Häkkänen, Antti",,,etunimi.sukunimi.64@example.com,Testiosoite 65,10064,Helsinki,10,Kokoomusopiskelijat 1,B,
67,Hämäläinen,Harri Veikko Tapani,"Hämäläinen, Harri",,,etunimi.sukunimi.65@example.com,Testiosoite 66,10065,Helsinki,10,Kokoomusopiskelijat 1,T,
68,Hämäläinen,Jani Antero,"Hämäläinen, Jani",,,etunimi.sukunimi.66@example.com,Testiosoite 67,10066,Helsinki,10,Kokoomusopiskelijat 1,L,
69,Hämäläinen,Maisa-Leena Maria,"Hämäläinen, Maisa",,,etunimi.sukunimi.67@example.com,Testiosoite 68,10067,Helsinki,10,Kokoomusopiskelijat 1,MM,
70,Hämäläinen,Tuukka Santeri,"Hämäläinen, Tuukka",,,etunimi.sukunimi.68@example.com,Testiosoite 69,10068,Helsinki,10,Kokoomusopiskelijat 1,K,
71,Härkönen,Miika Juhani,"Härkönen, Miika 'Härkönen'",,,etunimi.sukunimi.69@example.com,Testiosoite 70,10069,Helsinki,10,Kokoomusopiskelijat 1,E,
72,Josefsson,Kim Henrik,"Josefsson, Kim",,,etunimi.sukunimi.70@example.com,Testiosoite 71,10070,Helsinki,10,Kokoomusopiskelijat 1,H,
73,Juurinen,Paula-Maria Päivikki,"Juurinen, Paula",,,etunimi.sukunimi.71@example.com,Testiosoite 72,10071,Helsinki,10,Kokoomusopiskelijat 1,ML,
74,Jäntti,Maija Elina,"Jäntti, Maija",,,etunimi.sukunimi.72@example.com,Testiosoite 73,10072,Helsinki,10,Kokoomusopiskelijat 1,V,
75,Kainulainen,Toni Juhani,"Kainulainen, Toni",,,etunimi.sukunimi.73@example.com,Testiosoite 74,10073,Helsinki,10,Kokoomusopiskelijat 1,O,
76,Kaksonen,Kai-Verneri,"Kaksonen, Kai",,,etunimi.sukunimi.74@example.com,Testiosoite 75,10074,Helsinki,10,Kokoomusopiskelijat 1,B,
77,Kangas,Tanja Marita,"Kangas, Tanja",,,etunimi.sukunimi.75@example.com,Testiosoite 76,10075,Helsinki,10,Kokoomusopiskelijat 1,T,
78,Karppinen,Henriikka Vilhelmiina,"Karppinen, Henriikka",,,etunimi.sukunimi.76@example.com,Testiosoite 77,10076,Helsinki,10,Kokoomusopiskelijat 1,L,
79,Keriö,Annika Emilia,"Keriö, Annika",,,etunimi.sukunimi.77@example.com,Testiosoite 78,10077,Helsinki,10,Kokoomusopiskelijat 1,MM,
80,Koivunen,Anna Emilia,"Koivunen, Anna",,,etunimi.sukunimi.78@example.com,Testiosoite 79,10078,Helsinki,10,Kokoomusopiskelijat 1,K,
81,Kostamo,Lassi Juhani,"Kostamo, Lassi",,,etunimi.sukunimi.79@example.com,Testiosoite 80,10079,Helsinki,10,Kokoomusopiskelijat 1,E,
82,Kozlov,Margarita,"Kozlov, Margarita",,,etunimi.sukunimi.80@example.com,Testiosoite 81,10080,Helsinki,10,Kokoomusopiskelijat 1,H,
83,Kransman,Alex Peter,"Kransman, Alex",,,etunimi.sukunimi.81@example.com,Testiosoite 82,10081,Helsinki,10,Kokoomusopiskelijat 1,ML,
84,Kuitunen,Anita Birgitta,"Kuitunen, Anita",,,etunimi.sukunimi.82@example.com,Testiosoite 83,10082,Helsinki,10,Kokoomusopiskelijat 1,V,
85,Kuusivuori,Jenni Ilona,"Kuusivuori, Jenni",,,etunimi.sukunimi.83@example.com,Testiosoite 84,10083,Helsinki,10,Kokoomusopiskelijat 1,O,
86,Kymäläinen,Seppo Johannes,"Kymäläinen, Seppo",,,etunimi.sukunimi.84@example.com,Testiosoite 85,10084,Helsinki,10,Kokoomusopiskelijat 1,B,
87,Lahtinen,Marika Pauliina,"Lahtinen, Marika",,,etunimi.sukunimi.85@example.com,Testiosoite 86,10085,Helsinki,10,Kokoomusopiskelijat 1,T,
88,Lehtiniemi,Tero Juhani Henrik,"Lehtiniemi, Tero",,,etunimi.sukunimi.86@example.com,Testiosoite 87,10086,Helsinki,10,Kokoomusopiskelijat 1,L,
89,Lehtola,Jussi Samuli,"Lehtola, Jussi",,,etunimi.sukunimi.87@example.com,Testiosoite 88,10087,Helsinki,10,Kokoomusopiskelijat 1,MM,
90,Leinonen,Pekka Sakari,"Leinonen, Pekka",,,etunimi.sukunimi.88@example.com,Testiosoite 89,10088,Helsinki,10,Kokoomusopiskelijat 1,K,
91,Lindgren,Sampo Erkki Ilmari,"Lindgren, Sampo",,,etunimi.sukunimi.89@example.com,Testiosoite 90,10089,Helsinki,10,Kokoomusopiskelijat 1,E,
92,Linnanvirta,Reima Jysky Petteri,"Linnanvirta, Reima",,,etunimi.sukunimi.90@example.com,Testiosoite 91,10090,Helsinki,10,Kokoomusopiskelijat 1,H,
93,Lähdemäki,Irene Maria Eleonoora,"Lähdemäki, Irene",,,etunimi.sukunimi.91@example.com,Testiosoite 92,10091,Helsinki,10,Kokoomusopiskelijat 1,ML,
94,Majaniemi,Milla Maria,"Majaniemi, Milla",,,etunimi.sukunimi.92@example.com,Testiosoite 93,10092,Helsinki,10,Kokoomusopiskelijat 1,V,
95,Matilainen,Pirkko Helena,"Matilainen, Helena",,,etunimi.sukunimi.93@example.com,Testiosoite 94,10093,Helsinki,10,Kokoomusopiskelijat 1,O,
96,Mattila,Matti,"Mattila, Matti",,,etunimi.sukunimi.94@example.com,Testiosoite 95,10094,Helsinki,10,Kokoomusopiskelijat 1,B,
97,Meriläinen,Jaakko Pekka,"Meriläinen, Jaakko",,,etunimi.sukunimi.95@example.com,Testiosoite 96,10095,Helsinki,10,Kokoomusopiskelijat 1,T,
98,Merisaari,Lotta Karoliina,"Merisaari, Lotta",,,etunimi.sukunimi.96@example.com,Testiosoite 97,10096,Helsinki,10,Kokoomusopiskelijat 1,L,
99,Metelinen,Sami Petteri,"Metelinen, Sami 'Johtaja'",,,etunimi.sukunimi.97@example.com,Testiosoite 98,10097,Helsinki,10,Kokoomusopiskelijat 1,MM,
100,Mustonen,Niilo Hjalmar,"Mustonen, Niilo",,,etunimi.sukunimi.98@example.com,Testiosoite 99,10098,Helsinki,10,Kokoomusopiskelijat 1,K,
101,Mäkijärvi,Essi Marjaana,"Mäkijärvi, Essi",,,etunimi.sukunimi.99@example.com,Testiosoite 100,10099,Helsinki,10,Kokoomusopiskelijat 1,E,
102,Mäkisalo,Aino,"Mäkisalo, Aino",,,etunimi.sukunimi.100@example.com,Testiosoite 101,10100,Helsinki,16,Kokoomusopiskelijat 2,H,
103,Nisu,Timo Antti Juhani,"Nisu, Timo",,,etunimi.sukunimi.101@example.com,Testiosoite 102,10101,Helsinki,16,Kokoomusopiskelijat 2,ML,
104,Nurmela,Tuomas Lauri Johannes,"Nurmela, Tuomas",,,etunimi.sukunimi.102@example.com,Testiosoite 103,10102,Helsinki,16,Kokoomusopiskelijat 2,V,
105,Oldroyd,Daniel,"Oldroyd, Daniel",,,etunimi.sukunimi.103@example.com,Testiosoite 104,10103,Helsinki,16,Kokoomusopiskelijat 2,O,
106,Olenius,Lasse Erik Mikael,"Olenius, Mikael",,,etunimi.sukunimi.104@example.com,Testiosoite 105,10104,Helsinki,16,Kokoomusopiskelijat 2,B,
107,Pihlajamaa,Juhana Elia Gabriel,"Pihlajamaa, Juhana",,,etunimi.sukunimi.105@example.com,Testiosoite 106,10105,Helsinki,16,Kokoomusopiskelijat 2,T,
108,Pirhonen,Laura Anna Monika,"Pirhonen, Laura",,,etunimi.sukunimi.106@example.com,Testiosoite 107,10106,Helsinki,16,Kokoomusopiskelijat 2,L,
109,Pohjankoski,Pekka Sakari,"Pohjankoski, Pekka",,,etunimi.sukunimi.107@example.com,Testiosoite 108,10107,Helsinki,16,Kokoomusopiskelijat 2,MM,
110,Poikonen,Jaakko Ilmari,"Poikonen, Jaakko",,,etunimi.sukunimi.108@example.com,Testiosoite 109,10108,Helsinki,16,Kokoomusopiskelijat 2,K,
111,Poutiainen,Marika,"Poutiainen, Marika",,,etunimi.sukunimi.109@example.com,Testiosoite 110,10109,Helsinki,16,Kokoomusopiskelijat 2,E,
112,Pulsa,Päivi Elina,"Pulsa, Päivi",,,etunimi.sukunimi.110@example.com,Testiosoite 111,10110,Helsinki,16,Kokoomusopiskelijat 2,H,
113,Puukko,Sampo Sakari,"Puukko, Sampo",,,etunimi.sukunimi.111@example.com,Testiosoite 112,10111,Helsinki,16,Kokoomusopiskelijat 2,ML,
114,Puuska,Markus Juhani,"Puuska, Markus",,,etunimi.sukunimi.112@example.com,Testiosoite 113,10112,Helsinki,16,Kokoomusopiskelijat 2,V,
115,Rantakari,Pekka Osmo Kalevi,"Rantakari, Pekka",,,etunimi.sukunimi.113@example.com,Testiosoite 114,10113,Helsinki,16,Kokoomusopiskelijat 2,O,
116,Rautala,Heikki Jalmari,"Rautala, Heikki",,,etunimi.sukunimi.114@example.com,Testiosoite 115,10114,Helsinki,16,Kokoomusopiskelijat 2,B,
117,Rautiainen,Anni Aino Maria,"Rautiainen, Anni",,,etunimi.sukunimi.115@example.com,Testiosoite 116,10115,Helsinki,16,Kokoomusopiskelijat 2,T,
118,Rintala,Pekka,"Rintala, Pekka",,,etunimi.sukunimi.116@example.com,Testiosoite 117,10116,Helsinki,16,Kokoomusopiskelijat 2,L,
119,Rydman,Arno Risto Johannes,"Rydman, Arno",,,etunimi.sukunimi.117@example.com,Testiosoite 118,10117,Helsinki,16,Kokoomusopiskelijat 2,MM,
120,Ryösä,Markku Olavi,"Ryösä, Markku",,,etunimi.sukunimi.118@example.com,Testiosoite 119,10118,Helsinki,16,Kokoomusopiskelijat 2,K,
121,Sahamies,Laura Karoliina,"Sahamies, Laura",,,etunimi.sukunimi.119@example.com,Testiosoite 120,10119,Helsinki,16,Kokoomusopiskelijat 2,E,
122,Sahamies,Miika Petteri,"Sahamies, Miika",,,etunimi.sukunimi.120@example.com,Testiosoite 121,10120,Helsinki,16,Kokoomusopiskelijat 2,H,
123,Sahamies,Noora Eveliina,"Sahamies, Noora",,,etunimi.sukunimi.121@example.com,Testiosoite 122,10121,Helsinki,16,Kokoomusopiskelijat 2,ML,
124,Seikkula,Jani Artturi,"Seikkula, Jani",,,etunimi.sukunimi.122@example.com,Testiosoite 123,10122,Helsinki,16,Kokoomusopiskelijat 2,V,
125,Siekkinen,Elisa Irina,"Siekkinen, Elisa",,,etunimi.sukunimi.123@example.com,Testiosoite 124,10123,Helsinki,16,Kokoomusopiskelijat 2,O,
126,Siltanen,Aleksi Tapio,"Siltanen, Aleksi",,,etunimi.sukunimi.124@example.com,Testiosoite 125,10124,Helsinki,16,Kokoomusopiskelijat 2,B,
127,Silvonen,Anne Pauliina,"Silvonen, Pauliina ",,,etunimi.sukunimi.125@example.com,Testiosoite 126,10125,Helsinki,16,Kokoomusopiskelijat 2,T,
128,Suomela,Iida-Liina Timontytär,"Suomela, Iida ",,,etunimi.sukunimi.126@example.com,Testiosoite 127,10126,Helsinki,16,Kokoomusopiskelijat 2,L,
129,Suominen,Osmo Matti Ensio,"Suominen, Osmo",,,etunimi.sukunimi.127@example.com,Testiosoite 128,10127,Helsinki,16,Kokoomusopiskelijat 2,MM,
130,Tarkkanen,Minni Emilia,"Tarkkanen, Minni",,,etunimi.sukunimi.128@example.com,Testiosoite 129,10128,Helsinki,16,Kokoomusopiskelijat 2,K,
131,Tiainen,Jari Mikael,"Tiainen, Jari M. ",,,etunimi.sukunimi.129@example.com,Testiosoite 130,10129,Helsinki,16,Kokoomusopiskelijat 2,E,
132,Tiensuu,Tuomas Mikael,"Tiensuu, Tuomas",,,etunimi.sukunimi.130@example.com,Testiosoite 131,10130,Helsinki,16,Kokoomusopiskelijat 2,H,
133,Tirronen,Anna Elisa,"Tirronen, Anna",,,etunimi.sukunimi.131@example.com,Testiosoite 132,10131,Helsinki,16,Kokoomusopiskelijat 2,ML,
134,Toepfer,Johannes Lauri Tuomaanpoika,"Toepfer, Johannes",,,etunimi.sukunimi.132@example.com,Testiosoite 133,10132,Helsinki,16,Kokoomusopiskelijat 2,V,
135,Tulenheimo,Pauliina Aija Elisa,"Tulenheimo, Pauliina",,,etunimi.sukunimi.133@example.com,Testiosoite 134,10133,Helsinki,16,Kokoomusopiskelijat 2,O,
136,Tuohiniemi,Jussi Tapaninpoika,"Tuohiniemi, Jussi",,,etunimi.sukunimi.134@example.com,Testiosoite 135,10134,Helsinki,16,Kokoomusopiskelijat 2,B,
137,Tähtinen,Mikko Ilmari,"Tähtinen, Mikko",,,etunimi.sukunimi.135@example.com,Testiosoite 136,10135,Helsinki,16,Kokoomusopiskelijat 2,T,
138,Utti-Lankinen,Katja Kristiina,"Utti-Lankinen, Katja",,,etunimi.sukunimi.136@example.com,Testiosoite 137,10136,Helsinki,16,Kokoomusopiskelijat 2,L,
139,Uuspelto,Vesa Pekka Sakari,"Uuspelto, Vesa",,,etunimi.sukunimi.137@example.com,Testiosoite 138,10137,Helsinki,16,Kokoomusopiskelijat 2,MM,
140,Vainio,Oona-Karita,"Vainio, Oona ",,,etunimi.sukunimi.138@example.com,Testiosoite 139,10138,Helsinki,16,Kokoomusopiskelijat 2,K,
141,Vasaramäki,Ville Sakari,"Vasaramäki, Ville",,,etunimi.sukunimi.139@example.com,Testiosoite 140,10139,Helsinki,16,Kokoomusopiskelijat 2,E,
142,Vedenpää,Ruut Heljä Marita,"Vedenpää, Ruut",,,etunimi.sukunimi.140@example.com,Testiosoite 141,10140,Helsinki,16,Kokoomusopiskelijat 2,H,
143,Viholainen,Antti Timo Tapani,"Viholainen, Antti",,,etunimi.sukunimi.141@example.com,Testiosoite 142,10141,Helsinki,16,Kokoomusopiskelijat 2,ML,
144,Viitamäki,Pertti Mikael,"Viitamäki, Pertti",,,etunimi.sukunimi.142@example.com,Testiosoite 143,10142,Helsinki,16,Kokoomusopiskelijat 2,V,
145,Viljamaa,Maija Matilda,"Viljamaa, Maija",,,etunimi.sukunimi.143@example.com,Testiosoite 144,10143,Helsinki,16,Kokoomusopiskelijat 2,O,
146,Virén,Hanna Pauliina,"Virén, Hanna",,,etunimi.sukunimi.144@example.com,Testiosoite 145,10144,Helsinki,16,Kokoomusopiskelijat 2,B,
147,Vuori,Timo Tapani,"Vuori, Timo",,,etunimi.sukunimi.145@example.com,Testiosoite 146,10145,Helsinki,16,Kokoomusopiskelijat 2,T,
148,Vähäkuopus,Niko Mikael,"Vähäkuopus, Niko",,,etunimi.sukunimi.146@example.com,Testiosoite 147,10146,Helsinki,16,Kokoomusopiskelijat 2,L,
149,Välisalmi,Satu Maria,"Välisalmi, Satu",,,etunimi.sukunimi.147@example.com,Testiosoite 148,10147,Helsinki,16,Kokoomusopiskelijat 2,MM,
150,Wilskman,Juho-Erik,"Wilskman, Juho",,,etunimi.sukunimi.148@example.com,Testiosoite 149,10148,Helsinki,16,Kokoomusopiskelijat 2,K,
151,Acar,Ömer,"Acar, Ömer",,,etunimi.sukunimi.149@example.com,Testiosoite 150,10149,Helsinki,19,Keskeiset,E,
152,Autelo,Asko Juhani,"Autelo, Asko",,,etunimi.sukunimi.150@example.com,Testiosoite 151,10150,Helsinki,19,Keskeiset,H,
153,Eskelinen,Aleksi Eerikki,"Eskelinen, Aleksi",,,etunimi.sukunimi.151@example.com,Testiosoite 152,10151,Helsinki,19,Keskeiset,ML,
154,Eskelinen,Juha Markus,"Eskelinen, Juha",,,etunimi.sukunimi.152@example.com,Testiosoite 153,10152,Helsinki,19,Keskeiset,V,
155,Hämäläinen,Jouko Asser,"Hämäläinen, Jouko",,,etunimi.sukunimi.153@example.com,Testiosoite 154,10153,Helsinki,19,Keskeiset,O,
156,Kallio,Jaakko Johan Anttoni,"Kallio, Jaakko",,,etunimi.sukunimi.154@example.com,Testiosoite 155,10154,Helsinki,19,Keskeiset,B,
157,Kallio,Laura Maria,"Kallio, Laura",,,etunimi.sukunimi.155@example.com,Testiosoite 156,10155,Helsinki,19,Keskeiset,T,
158,Karhunen,Heli Maria,"Karhunen, Heli",,,etunimi.sukunimi.156@example.com,Testiosoite 157,10156,Helsinki,19,Keskeiset,L,
159,Kinnunen,Teemu Matias,"Kinnunen, Teemu",,,etunimi.sukunimi.157@example.com,Testiosoite 158,10157,Helsinki,19,Keskeiset,MM,
160,Lahtinen,Anu Tuulia,"Lahtinen, Anu",,,etunimi.sukunimi.158@example.com,Testiosoite 159,10158,Helsinki,19,Keskeiset,K,
161,Paukkeri,Susanna Elina,"Paukkeri, Susanna",,,etunimi.sukunimi.159@example.com,Testiosoite 160,10159,Helsinki,19,Keskeiset,E,
162,Peltokangas,Kalle Matias,"Peltokangas, Kalle",,,etunimi.sukunimi.160@example.com,Testiosoite 161,10160,Helsinki,19,Keskeiset,H,
163,Pihlaja,Kaisa Heleena,"Pihlaja, Kaisa",,,etunimi.sukunimi.161@example.com,Testiosoite 162,10161,Helsinki,19,Keskeiset,ML,
164,Ranki,Anna Elina,"Ranki, Anna",,,etunimi.sukunimi.162@example.com,Testiosoite 163,10162,Helsinki,19,Keskeiset,V,
